Ward name,Old code,GSS_CODE,population_2015,percent_children_15_2015,percent_working_age_2015,percent_aged_65+_2015,mean_age_2013,median_age_2013,area_sq,pop_den_2013,percent_bame_2011,general_fertility_rate_2013,male_life_expect,female_life_expect,rate_ambulance_per_1000pp_ 2014,num_killed_seriously_injured_road_2014,employment_rate_2011,median_house_price_2014,num_propertoes_sold_2014,median_est_household_income_2013,percent_detached_2011,percent_semi_detached_2011,% terraced houses - 2011,percent_flat_2011,percent_household_owned_2011,percent_household_socialrented_2011,percent_household_privaterent_2011,percent_no_qualifications_2011,crime_rate_2014,violence_against_person_rate_2014,deliberate_fires_per_1000pp_2014,percent_area_openspace_2014,cars_per_household_2011,avg_public_transport_accessibility_score_2014,percent_travel_work_bike_2011
Islington - Hillrise,00AUGF,E05000374,12350,18.5,72.1,9.4,35,33,0.8,15125,33.7,53.2,78.1,81.9,114.2,1,65.7,447500,118,39090,1.3,3.4,18.8,76.6,32.9,45.3,20.1,17.9,74,26.2,1.2,18.3,0.5,4.2,8
Islington - Holloway,00AUGG,E05000375,16050,15.1,77.2,7.7,33.5,30,1,15750,36.1,37.3,76.9,83.4,119.6,7,63.9,405000,195,35430,1.3,3.5,8.7,86.5,22.4,46.5,26.2,18.8,83.3,22.8,0.2,16.9,0.4,5.9,8.8
Islington - Junction,00AUGH,E05000376,12950,15.4,74.9,9.7,35.6,33,1,12600,30.6,37.5,75.5,81.1,189.7,5,68.4,452000,149,39470,1,3,14.2,81.8,28.5,43.3,25.7,16.8,115.5,34.1,0.5,16.6,0.4,6,9.4
Islington - Mildmay,00AUGJ,E05000377,13500,18.3,74,7.7,33.7,32,0.8,16625,34.5,55.1,78.4,83.8,125.4,1,68.6,525000,167,39300,1.1,2.9,11.5,84.4,27.4,47,23.3,17.4,92.3,24.7,0.5,10.6,0.4,6.1,13.2
Islington - St. George's,00AUGK,E05000378,13100,16.2,74.4,9.5,35.2,33,0.8,16062.5,28.1,47.1,77.7,85.7,144.5,2,67.8,495645,129,40860,1,4,12.7,82.3,33.6,38,26.1,16.5,76.5,24.1,0.5,8.1,0.5,4.5,11.4
Islington - St. Mary's,00AUGL,E05000379,12500,13.8,76.6,9.5,35.9,33,0.9,13500,25.3,50.4,79.3,82.3,166.1,14,73,650000,116,46190,1.1,2.9,15.5,80.5,27,41.5,29.7,15.5,192.2,44,0.2,9.6,0.4,6.7,8.9
Islington - St. Peter's,00AUGM,E05000380,13200,14.9,76.2,8.9,35.2,32,0.8,15687.5,25.6,45.9,77.6,79.2,139.1,6,70.4,667500,206,43870,0.9,2.5,23.4,73.2,33.2,40.4,24,17.3,127.1,30,0.5,10.4,0.4,5.3,9.7
Islington - Tollington,00AUGN,E05000381,13900,17.5,74.4,8.1,34.2,32,0.8,17062.5,35.8,59.2,77.2,85.7,121.5,3,68.5,465000,157,38090,1.5,3.5,16.5,78.5,29,41.9,26.9,17.3,86.4,27.4,0.5,13.3,0.4,4.5,9.5
Kensington and Chelsea - Abingdon,00AWFY,E05000382,10700,16.2,70.5,13.3,37.7,36,0.6,16916.7,32.6,51.2,86.5,85.5,99.9,3,66.2,1295000,303,54690,1.2,3.4,13,82.4,41.5,9.4,45.2,6.3,83.2,18.7,0,5.9,0.6,6.5,4.7
Kensington and Chelsea - Brompton,00AWFZ,E05000383,8900,14.2,71.2,14.6,39.2,37,1,8700,24.4,39.5,86.4,86.6,156.9,8,69.2,1950000,151,64320,1,1.8,13.2,83.9,34,12.3,47.6,6.6,185.5,23.9,0.2,10.8,0.6,6.8,2.9
Kensington and Chelsea - Campden,00AWGA,E05000384,8250,16.9,69.5,13.6,38.4,37,0.9,8944.4,21.4,64.9,86.1,89.5,108.8,4,71.6,1400000,157,65500,1.9,4,19.6,74.4,47.7,7,39.8,4.5,124.7,21.4,n/a,27.8,0.7,6.8,5
Kensington and Chelsea - Colville,00AWGB,E05000385,8400,14.4,73.4,12.2,38.3,36,0.4,20625,34,49.3,80.6,85.2,162.6,0,69.9,935000,106,43560,0.5,1.1,8.2,90.2,24.9,45.2,28.1,13.1,172.2,36.4,0.2,10.5,0.4,5.4,7.7
